Exporter Clean,Total Sale Quantity,Total Sales Amount,Avg Sale Price Calc
Agrolatina,1613191.0,48046501.73,29.429993615021814
Agrovita,26375.0,381302.59,14.704498572237627
MDT,96156.0,2203424.49,25.202808640019263
Quintay,92984.0,2439314.36,27.00250770951218
Unknown Exporter,64263.0,2096142.98,32.265
