Lotid,Exporter Clean,Initial Stock,Entry Date,Variety
24A8021070,Agrolatina,560,02/17/2025,TIMCO
24A8021070,Agrolatina,1040,02/17/2025,TIMCO
24A8021110,Agrolatina,80,01/23/2025,AUTUMN CRISP
24A8021110,Agrolatina,320,01/23/2025,AUTUMN CRISP
24A8021110,Agrolatina,1200,01/23/2025,AUTUMN CRISP
24A8021281,Agrolatina,1200,01/13/2025,ALLISON
24A8021281,Agrolatina,400,01/13/2025,ALLISON
24A8021337,Agrolatina,1280,01/13/2025,ALLISON
24A8021337,Agrolatina,320,01/13/2025,ALLISON
24A8021450,Agrolatina,1235,01/13/2025,SWEET GLOBE
24A8021450,Agrolatina,190,01/13/2025,SWEET GLOBE
24A8021450,Agrolatina,475,01/13/2025,SWEET GLOBE
24A8021713,Agrolatina,1440,02/03/2025,SWEET GLOBE
24A8021713,Agrolatina,160,02/03/2025,SWEET GLOBE
24A8022143,Agrolatina,1520,01/13/2025,CANDY SNAP
24A8022143,Agrolatina,80,01/13/2025,CANDY SNAP
24A8022225,Agrolatina,240,01/23/2025,AUTUMN CRISP
24A8022225,Agrolatina,960,01/23/2025,AUTUMN CRISP
24A8022225,Agrolatina,400,01/23/2025,AUTUMN CRISP
24A8022354,Agrolatina,1520,01/13/2025,SWEET FAVORS
24A8022354,Agrolatina,80,01/13/2025,SWEET FAVORS
24A8022499,Agrolatina,1330,01/23/2025,SWEET GLOBE
24A8022499,Agrolatina,285,01/23/2025,SWEET GLOBE
24A8022499,Agrolatina,285,01/23/2025,SWEET GLOBE
24A8022586,Agrolatina,1280,02/10/2025,TIMCO
24A8022586,Agrolatina,160,02/10/2025,TIMCO
24A8022586,Agrolatina,160,02/10/2025,TIMCO
24A8022673,Agrolatina,160,01/23/2025,AUTUMN CRISP
24A8022673,Agrolatina,1120,01/23/2025,AUTUMN CRISP
24A8022673,Agrolatina,320,01/23/2025,AUTUMN CRISP
24A8022689,Agrolatina,1280,02/10/2025,TIMCO
24A8022689,Agrolatina,160,02/10/2025,TIMCO
24A8022689,Agrolatina,160,02/10/2025,TIMCO
24A8022797,Agrolatina,1520,01/23/2025,SWEET GLOBE
24A8022797,Agrolatina,80,01/23/2025,SWEET GLOBE
24A8023094,Agrolatina,1440,01/13/2025,SWEET GLOBE
24A8023094,Agrolatina,160,01/13/2025,SWEET GLOBE
24A8023134,Agrolatina,1280,01/13/2025,SWEET GLOBE
24A8023134,Agrolatina,320,01/13/2025,SWEET GLOBE
24A8023242,Agrolatina,1440,02/24/2025,TIMCO
24A8023242,Agrolatina,160,02/24/2025,TIMCO
24A8023448,Agrolatina,1280,02/28/2025,TIMCO
24A8023448,Agrolatina,320,02/28/2025,TIMCO
24A8023474,Agrolatina,1600,02/28/2025,TIMCO
24A8023793,Agrolatina,1360,01/13/2025,ALLISON
24A8023793,Agrolatina,240,01/13/2025,ALLISON
24A8023896,Agrolatina,1280,02/28/2025,TIMCO
24A8023896,Agrolatina,320,02/28/2025,TIMCO
24A8023920,Agrolatina,1600,01/13/2025,SWEET FAVORS
24A8023936,Agrolatina,880,03/03/2025,SWEET GLOBE
24A8023936,Agrolatina,720,03/03/2025,SWEET GLOBE
24A8024038,Agrolatina,1360,04/14/2025,SWEET GLOBE
24A8024038,Agrolatina,240,04/14/2025,SWEET GLOBE
24A8024104,Agrolatina,1330,01/23/2025,SWEET GLOBE
24A8024104,Agrolatina,190,01/23/2025,SWEET GLOBE
24A8024104,Agrolatina,380,01/23/2025,SWEET GLOBE
24A8024254,Agrolatina,160,01/20/2025,AUTUMN CRISP
24A8024254,Agrolatina,880,01/20/2025,AUTUMN CRISP
24A8024254,Agrolatina,560,01/20/2025,AUTUMN CRISP
24A8024491,Agrolatina,1520,01/13/2025,SWEET GLOBE
24A8024491,Agrolatina,80,01/13/2025,SWEET GLOBE
24A8024510,Agrolatina,240,01/23/2025,SWEET GLOBE
24A8024510,Agrolatina,1360,01/23/2025,SWEET GLOBE
24A8024526,Agrolatina,960,01/23/2025,ALLISON
24A8024526,Agrolatina,640,01/23/2025,ALLISON
24A8024634,Agrolatina,1040,01/23/2025,AUTUMN CRISP
24A8024634,Agrolatina,560,01/23/2025,AUTUMN CRISP
24A8024790,Agrolatina,960,04/14/2025,SWEET GLOBE
24A8024790,Agrolatina,640,04/14/2025,SWEET GLOBE
24A8024803,Agrolatina,960,03/03/2025,SWEET GLOBE
24A8024803,Agrolatina,640,03/03/2025,SWEET GLOBE
24A8030470,Agrolatina,1360,03/13/2025,TIMCO
24A8030470,Agrolatina,240,03/13/2025,TIMCO
24A8033782,Agrolatina,1520,01/16/2025,CANDY SNAP
24A8033782,Agrolatina,80,01/16/2025,CANDY SNAP
24A8034259,Agrolatina,1615,03/03/2025,TIMCO
24A8034259,Agrolatina,85,03/03/2025,TIMCO
24A8034670,Agrolatina,720,02/03/2025,CANDY DREAMS
24A8034670,Agrolatina,880,02/03/2025,CANDY DREAMS
24A8035297,Agrolatina,640,02/03/2025,SWEET GLOBE
24A8035297,Agrolatina,960,02/03/2025,SWEET GLOBE
24A8039440,Agrolatina,570,02/03/2025,SWEET FAVORS
24A8039440,Agrolatina,190,02/03/2025,SWEET FAVORS
24A8039440,Agrolatina,665,02/03/2025,SWEET GLOBE
24A8039440,Agrolatina,475,02/03/2025,SWEET GLOBE
24A8039841,Agrolatina,1440,12/07/2024,ALLISON
24A8039841,Agrolatina,160,12/07/2024,ALLISON
24A8042495,Agrolatina,320,02/10/2025,AUTUMN CRISP
24A8042495,Agrolatina,1280,02/10/2025,AUTUMN CRISP
24A8044435,Agrolatina,1120,03/04/2025,IVORY
24A8044435,Agrolatina,480,03/04/2025,IVORY
24A8045283,Agrolatina,800,02/17/2025,SWEET GLOBE
24A8045283,Agrolatina,800,02/17/2025,SWEET GLOBE
24A8051753,Agrolatina,1200,02/17/2025,SWEET GLOBE
24A8051753,Agrolatina,400,02/17/2025,SWEET GLOBE
24A8052992,Agrolatina,480,02/06/2025,SWEET GLOBE
24A8052992,Agrolatina,1120,02/06/2025,SWEET GLOBE
24A8056539,Agrolatina,1120,03/07/2025,COTTON CANDY
24A8056539,Agrolatina,480,03/07/2025,COTTON CANDY
24A8057561,Agrolatina,80,02/04/2025,CANDY DREAMS
24A8057561,Agrolatina,320,02/04/2025,CANDY DREAMS
24A8057561,Agrolatina,285,02/04/2025,SWEET FAVORS
24A8057561,Agrolatina,95,02/04/2025,SWEET FAVORS
24A8057561,Agrolatina,160,02/04/2025,SWEET GLOBE
24A8057561,Agrolatina,720,02/04/2025,TIMCO
24A8059374,Agrolatina,1105,03/04/2025,ALLISON
24A8059374,Agrolatina,595,03/04/2025,ALLISON
24A8069887,Agrolatina,1280,01/13/2025,SWEET GLOBE
24A8069887,Agrolatina,240,01/13/2025,SWEET GLOBE
24A8069887,Agrolatina,80,01/13/2025,SWEET GLOBE
24A8070424,Agrolatina,1040,01/03/2025,SWEET GLOBE
24A8070424,Agrolatina,80,01/03/2025,SWEET GLOBE
24A8070424,Agrolatina,480,01/03/2025,SWEET GLOBE
24A8070810,Agrolatina,1200,01/13/2025,ALLISON
24A8070810,Agrolatina,400,01/13/2025,ALLISON
24A8085110,Agrolatina,1280,01/19/2025,ALLISON
24A8085110,Agrolatina,320,01/19/2025,ALLISON
24A8086077,Agrolatina,800,02/06/2025,SWEET GLOBE
24A8086077,Agrolatina,800,02/06/2025,SWEET GLOBE
24A8092260,Agrolatina,1040,01/09/2025,SWEET GLOBE
24A8092260,Agrolatina,80,01/09/2025,SWEET GLOBE
24A8092260,Agrolatina,480,01/09/2025,SWEET GLOBE
24A8092315,Agrolatina,1200,02/17/2025,IVORY
24A8092315,Agrolatina,320,02/17/2025,IVORY
24A8092315,Agrolatina,80,02/17/2025,IVORY
24A8094956,Agrolatina,400,03/07/2025,AUTUMN CRISP
24A8094956,Agrolatina,1200,03/07/2025,AUTUMN CRISP
24A8099496,Agrolatina,1440,01/03/2025,ALLISON
24A8099496,Agrolatina,160,01/03/2025,ALLISON
24A8101530,Agrolatina,720,02/04/2025,AUTUMN CRISP
24A8101530,Agrolatina,880,02/04/2025,AUTUMN CRISP
24A8104269,Agrolatina,1280,01/16/2025,ALLISON
24A8104269,Agrolatina,320,01/16/2025,ALLISON
24A8114712,Agrolatina,1520,01/27/2025,ALLISON
24A8114712,Agrolatina,80,01/27/2025,ALLISON
24A8115792,Agrolatina,1280,03/04/2025,IVORY
24A8115792,Agrolatina,160,03/04/2025,IVORY
24A8115792,Agrolatina,160,03/04/2025,IVORY
24A8116439,Agrolatina,80,03/10/2025,AUTUMN CRISP
24A8116439,Agrolatina,1520,03/10/2025,AUTUMN CRISP
24A8120736,Agrolatina,1360,01/30/2025,SWEET GLOBE
24A8120736,Agrolatina,240,01/30/2025,SWEET GLOBE
24A8123479,Agrolatina,720,02/17/2025,SWEET GLOBE
24A8123479,Agrolatina,880,02/17/2025,SWEET GLOBE
24A8123843,Agrolatina,1360,01/19/2025,ALLISON
24A8123843,Agrolatina,240,01/19/2025,ALLISON
24A8131710,Agrolatina,1200,02/06/2025,CANDY DREAMS
24A8131710,Agrolatina,400,02/06/2025,CANDY DREAMS
24A8132059,Agrolatina,320,02/05/2025,CANDY DREAMS
24A8132059,Agrolatina,1280,02/05/2025,CANDY DREAMS
24A8133245,Agrolatina,1140,02/11/2025,IVORY
24A8133245,Agrolatina,760,02/11/2025,IVORY
24A8135167,Agrolatina,1040,01/16/2025,CANDY SNAP
24A8135167,Agrolatina,320,01/16/2025,CANDY SNAP
24A8135167,Agrolatina,160,01/16/2025,SWEET GLOBE
24A8135167,Agrolatina,80,01/16/2025,SWEET GLOBE
24A8140878,Agrolatina,800,02/20/2025,SWEET GLOBE
24A8140878,Agrolatina,800,02/20/2025,SWEET GLOBE
24A8143773,Agrolatina,80,02/04/2025,CANDY DREAMS
24A8143773,Agrolatina,240,02/04/2025,CANDY DREAMS
24A8143773,Agrolatina,1120,02/04/2025,SWEET FAVORS
24A8143773,Agrolatina,160,02/04/2025,SWEET FAVORS
24A8143938,Agrolatina,1360,03/03/2025,TIMCO
24A8143938,Agrolatina,240,03/03/2025,TIMCO
24A8145102,Agrolatina,720,01/16/2025,SWEET GLOBE
24A8145102,Agrolatina,80,01/16/2025,SWEET GLOBE
24A8145102,Agrolatina,800,01/16/2025,SWEET GLOBE
24A8152409,Agrolatina,1360,01/31/2025,ALLISON
24A8152409,Agrolatina,240,01/31/2025,ALLISON
24A8152944,Agrolatina,1275,02/11/2025,COTTON CANDY
24A8152944,Agrolatina,425,02/11/2025,COTTON CANDY
24A8169197,Agrolatina,560,02/06/2025,ALLISON
24A8169197,Agrolatina,1040,02/06/2025,ALLISON
24A8172420,Agrolatina,1440,03/10/2025,TIMCO
24A8172420,Agrolatina,160,03/10/2025,TIMCO
24A8173134,Agrolatina,1280,01/19/2025,ALLISON
24A8173134,Agrolatina,320,01/19/2025,ALLISON
24A8173520,Agrolatina,1200,03/07/2025,AUTUMN CRISP
24A8173520,Agrolatina,400,03/07/2025,AUTUMN CRISP
24A8174378,Agrolatina,1040,03/04/2025,TIMCO
24A8174378,Agrolatina,80,03/04/2025,TIMCO
24A8174378,Agrolatina,480,03/04/2025,TIMCO
24A8180519,Agrolatina,1200,01/19/2025,IVORY
24A8180519,Agrolatina,320,01/19/2025,IVORY
24A8180519,Agrolatina,80,01/19/2025,IVORY
24A8181984,Agrolatina,1330,02/17/2025,SWEET FAVORS
24A8181984,Agrolatina,380,02/17/2025,SWEET FAVORS
24A8181984,Agrolatina,190,02/17/2025,SWEET FAVORS
24A8183868,Agrolatina,1200,02/11/2025,SWEET GLOBE
24A8183868,Agrolatina,400,02/11/2025,SWEET GLOBE
24A8183924,Agrolatina,1280,01/18/2025,ALLISON
24A8183924,Agrolatina,320,01/18/2025,ALLISON
24A8184258,Agrolatina,1360,01/13/2025,CANDY SNAP
24A8184258,Agrolatina,240,01/13/2025,CANDY SNAP
24A8195947,Agrolatina,1600,12/31/2024,ALLISON
24A8201485,Agrolatina,1280,01/16/2025,SWEET GLOBE
24A8201485,Agrolatina,320,01/16/2025,SWEET GLOBE
24A8205828,Agrolatina,1120,03/04/2025,IVORY
24A8205828,Agrolatina,400,03/04/2025,IVORY
24A8205828,Agrolatina,80,03/04/2025,IVORY
24A8208406,Agrolatina,1280,12/26/2024,ALLISON
24A8208406,Agrolatina,320,12/26/2024,ALLISON
24A8211980,Agrolatina,1200,02/06/2025,ALLISON
24A8211980,Agrolatina,400,02/06/2025,ALLISON
24A8212290,Agrolatina,1040,02/07/2025,SWEET GLOBE
24A8212290,Agrolatina,560,02/07/2025,SWEET GLOBE
24A8214820,Agrolatina,1600,03/03/2025,TIMCO
24A8214902,Agrolatina,720,01/16/2025,CANDY DREAMS
24A8214902,Agrolatina,880,01/16/2025,CANDY DREAMS
