Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
Unknown Exporter,24A14634399,60.0,1865.76,326.51,1539.25,25.654166666666665,0.0
Unknown Exporter,24A5471525,1600.0,53040.0,11968.6,41071.4,25.669625,46.74785860720599
Unknown Exporter,24A5472516,1520.0,43368.0,11946.460000000001,31421.54,20.672065789473685,61.1045798519105
Unknown Exporter,24A5769620,1600.0,52240.0,12655.48,39584.520000000004,24.740325000000002,48.50380906475561
Unknown Exporter,24A5770560,1540.0,45294.32,17894.16,27400.16,17.79231168831169,70.07258351776048
Unknown Exporter,24A5782529,1600.0,43600.0,17482.08,26117.92,16.3237,73.51274527221157
Unknown Exporter,24A6118654,1600.0,53040.0,15480.83,37559.17,23.47448125,51.11934049660842
Unknown Exporter,24A6130775,1580.0,45485.46,17822.05,27663.41,17.508487341772152,69.40576017201062
Unknown Exporter,24A6559846,1600.0,55440.0,19717.98,35722.020000000004,22.326262500000002,53.748360255103144
Unknown Exporter,24A8064273,1600.0,53040.0,12275.0,40765.0,25.478125,47.099227278302465
Unknown Exporter,24A8128336,1582.0,45354.71,19061.25,26293.46,16.62039190897598,73.02196059400322
Unknown Exporter,24A8184556,1580.0,54489.44,19563.05,34926.39,22.10531012658228,54.97275842135417
Unknown Exporter,24A8229613,1601.0,55474.65,18026.2,37448.45,23.390662086196127,51.270479819592005
Unknown Exporter,24A8785802,1600.0,55059.54,19291.42,35768.12,22.355075000000003,53.679086292486154
Unknown Exporter,24A9028204,1600.0,52670.08,17624.9,35045.18,21.9032375,54.78642141372936
Unknown Exporter,24A9035905,1431.0,48204.25,27713.95,20490.3,14.318867924528302,93.7028740428398
Unknown Exporter,24A9045351,1570.0,53851.520000000004,19652.2,34199.32000000001,21.783006369426754,56.14146714028231
Unknown Exporter,24A9074060,1600.0,52240.0,12655.48,39584.520000000004,24.740325000000002,48.50380906475561
Unknown Exporter,24A9115832,1600.0,51440.0,11892.6,39547.4,24.717125,48.549335733828265
Unknown Exporter,24A9117460,1600.0,51440.0,11271.2,40168.8,25.105500000000003,47.7982912110892
Unknown Exporter,24A9120320,1600.0,51440.0,11302.6,40137.4,25.085875,47.835684424003546
Unknown Exporter,24A9162603,1420.0,48452.0,34448.18,14003.82,9.861845070422534,137.1054469423343
Unknown Exporter,24A9179728,1659.0,54638.35,19696.829999999998,34941.520000000004,21.061796262808922,54.94895471061362
Unknown Exporter,24A9182402,1600.0,46945.5,18211.899999999998,28733.600000000002,17.9585,66.82072556171173
Unknown Exporter,24A9185783,1600.0,55440.0,18178.09,37261.91,23.288693750000004,51.52714930608763
Unknown Exporter,24A9231999,1600.0,53040.0,19623.13,33416.869999999995,20.885543749999997,57.456009494605574
Unknown Exporter,24A9241830,1560.0,53504.619999999995,19416.87,34087.75,21.851121794871794,56.325219470337586
Unknown Exporter,24A9314793,1600.0,55440.0,17134.64,38305.36,23.94085,50.12353362558139
Unknown Exporter,24A9329664,1600.0,55440.0,17348.04,38091.96,23.807475,50.40433729322409
Unknown Exporter,24A9394206,1600.0,55440.0,17551.57,37888.43,23.68026875,50.67510055180434
Unknown Exporter,24A9436294,1420.0,44054.4,17344.41,26709.99,18.809852112676058,71.8832167290216
Unknown Exporter,24A9467829,1118.0,38738.7,21490.34,17248.359999999997,15.42787119856887,111.31493081081334
Unknown Exporter,24A9542882,1600.0,47583.049999999996,17017.0,30566.049999999996,19.103781249999997,62.81478961134985
Unknown Exporter,24A9558209,1600.0,52240.0,11795.48,40444.520000000004,25.277825000000004,47.472438787751706
Unknown Exporter,24A9563000,1374.0,47609.1,27138.53,20470.57,14.898522561863173,93.79318699967808
Unknown Exporter,24A9593553,1560.0,53911.75,19459.2,34452.55,22.08496794871795,55.728821233841906
Unknown Exporter,24A9707545,1600.0,52670.08,18949.13,33720.95,21.07559375,56.93789765709448
Unknown Exporter,24A9728202,1600.0,53040.0,16238.91,36801.09,23.00068125,52.17236772063002
Unknown Exporter,24A9820170,1590.0,52739.4,12860.48,39878.92,25.08108176100629,48.14573714634198
Unknown Exporter,24A9884658,1600.0,51440.0,11477.6,39962.4,24.9765,48.04516245270554
Unknown Exporter,24A9891773,1600.0,51440.0,11127.6,40312.4,25.19525,47.62802512378325
Unknown Exporter,24A9946858,1602.0,53106.3,16415.44,36690.86,22.903158551810236,52.89055639469884
Unknown Exporter,24V850559,96.0,1152.0,92.16,1059.84,11.04,0.0
Unknown Exporter,24a1423023,0.0,0.0,0.65,-0.65,,-0.0
