Exporter Clean,Initial Stock,Sale Quantity,Calculated Inventory,Current Inventory
Agrolatina,1781565.0,1613191.0,168374.0,1146395.0
Agrovita,28317.0,26375.0,1942.0,12876.0
MDT,106351.0,96156.0,10195.0,43793.0
Quintay,136935.0,92984.0,43951.0,162799.0
Unknown Exporter,65600.0,64263.0,1337.0,12672.0
VIDEXPORT,3600.0,0.0,3600.0,5760.0
