Exporter Clean,Initial Stock,Containers
AGL,432800,266
BORQUEZ,471409,234
ECO,112800,64
ELC,63564,34
MDT,13000,8
Quintay,135904,56
Rio King,143204,58
SAFCO PERU,7600,4
Unknown Exporter,6300,4
VIDEXPORT,1928508,935
