Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
MDT,MEDU9701534,1600.0,57600.0,14958.75,42641.25,26.65078125,0.0
MDT,MEDU9760537,1600.0,57600.0,16398.75,41201.25,25.75078125,0.0
MDT,MSDU9036869,1600.0,75200.0,16296.75,58903.25,36.81453125,0.0
MDT,SEGU9281314,1700.0,3880.0,5620.16,-1740.1599999999999,-1.0236235294117646,-0.0
MDT,SZLU9085547,1600.0,64000.0,18343.5,45656.5,28.5353125,0.0
MDT,TEMU9022372,1600.0,57600.0,17831.5,39768.5,24.8553125,0.0
MDT,TEMU9178827,1700.0,4420.0,4133.37,286.6300000000001,0.16860588235294124,0.0
MDT,TRIU8018082,1600.0,74880.0,17846.15,57033.85,35.64615625,0.0
