Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions Excl. Advances,FOB Liq,FOB per Case,Advance Pct Of FOB
Quintay,23Q166414132,12298.0,390814.3,116324.95,274489.35,22.319836558790044,0.0
Quintay,23Q771413169,11271.0,435521.96,131702.33,303819.63,26.955871706148525,0.0
Quintay,23Q838411136,11513.0,455377.28,149931.41,305445.87,26.530519412837663,0.0
Quintay,23QPU6321591,1439.0,67633.0,36279.94,31353.059999999998,21.78808895066018,0.0
Quintay,BMOU9296786,1916.0,98674.0,33105.62,65568.38,34.22149269311065,0.0
Quintay,BMOU9306539,1840.0,94760.0,35690.1,59069.9,32.10320652173913,0.0
Quintay,BMOU9307920,1776.0,68304.45,22969.11,45335.34,25.526655405405403,0.0
Quintay,BMOU9308450,1810.0,72850.0,23680.03,49169.97,27.165729281767955,0.0
Quintay,BMOU9337083,1805.0,70870.0,24632.43,46237.57,25.616382271468144,0.0
Quintay,BMOU9338813,1735.0,63740.0,20673.93,43066.07,24.82194236311239,0.0
Quintay,BMOU9349187,1773.0,67876.97,27457.4,40419.57,22.797275803722503,0.0
Quintay,BMOU9350300,1900.0,68184.9,19971.81,48213.09,25.375310526315786,0.0
Quintay,BMOU9350980,1924.0,97646.0,36150.27,61495.73,31.962437629937632,0.0
Quintay,BMOU9352030,1964.0,77977.47,23065.2,54912.270000000004,27.959404276985744,0.0
Quintay,BMOU9655166,1772.0,69728.7,24259.76,45468.94,25.659672686230248,0.0
Quintay,BMOU9656711,1900.0,75430.0,21773.57,53656.43,28.240226315789474,0.0
Quintay,CXRU1412836,1900.0,74385.0,19783.05,54601.95,28.73786842105263,0.0
Quintay,CXRU1580906,2027.0,78680.0,26604.24,52075.759999999995,25.69105081401085,0.0
Quintay,CXRU1581395,1615.0,64600.0,20671.72,43928.28,27.200173374613,0.0
Quintay,CXRU1618241,2160.0,69454.17,20004.01,49450.16,22.893592592592594,0.0
Quintay,FBIU5126200,1600.0,60768.05,17236.38,43531.67,27.207293749999998,0.0
Quintay,MEDU9703964,1600.0,75136.16,18326.4,56809.76,35.5061,0.0
Quintay,MEDU9712040,1520.0,45767.34,26268.25,19499.089999999997,12.828348684210525,0.0
Quintay,MEDU9725069,1840.0,69920.0,17791.6,52128.4,28.330652173913045,0.0
Quintay,MSCU7382534,1450.0,46271.76,26942.29,19329.47,13.330668965517242,0.0
Quintay,MSDU9019218,1198.0,32754.83,23822.489999999998,8932.340000000004,7.45604340567613,0.0
Quintay,OTPU6082455,2071.0,94041.0,30206.120000000003,63834.88,30.823215837759534,0.0
Quintay,OTPU6375387,1900.0,69986.5,21386.67,48599.83,25.578857894736842,0.0
Quintay,SEGU9077960,1890.0,76942.29,20888.39,56053.899999999994,29.658148148148147,0.0
Quintay,SEGU9088352,2160.0,81924.12,20737.07,61187.049999999996,28.32733796296296,0.0
Quintay,SEGU9147455,1900.0,60207.5,20612.96,39594.54,20.83923157894737,0.0
Quintay,SEGU9300230,2160.0,78354.0,20765.420000000002,57588.58,26.661379629629632,0.0
Quintay,SEGU9302274,1900.0,63714.5,18973.829999999998,44740.67,23.547721052631577,0.0
Quintay,SEGU9474268,2160.0,25056.0,16560.48,8495.52,3.9331111111111112,0.0
Quintay,SEGU9619612,1900.0,77140.0,22139.91,55000.09,28.947415789473684,0.0
Quintay,SEGU9625030,1900.0,73150.0,21639.75,51510.25,27.110657894736843,0.0
Quintay,SEGU9641391,1600.0,61120.0,20378.37,40741.630000000005,25.463518750000002,0.0
Quintay,SEGU9676799,1900.0,59600.32000000001,19065.260000000002,40535.060000000005,21.33424210526316,0.0
Quintay,SEGU9694663,1866.0,70570.0,23104.67,47465.33,25.436939978563775,0.0
Quintay,SEGU9695464,1600.0,54560.0,19924.010000000002,34635.99,21.64749375,0.0
Quintay,SEGU9696265,1600.0,54400.0,19911.21,34488.79,21.55549375,0.0
Quintay,SEGU9696692,1600.0,54400.0,19926.21,34473.79,21.54611875,0.0
Quintay,SEGU9698463,1600.0,55360.0,19470.0,35890.0,22.43125,0.0
Quintay,SEGU9721687,1600.0,57440.0,20154.41,37285.59,23.303493749999998,0.0
Quintay,SEGU9741852,1900.0,74190.25,21674.39,52515.86,27.639926315789474,0.0
Quintay,SEGU9861499,1736.0,62160.24,20607.13,41553.11,23.9361232718894,0.0
Quintay,SEGU9861842,1600.0,54280.0,19901.61,34378.39,21.48649375,0.0
Quintay,SEGU9865540,1600.0,57120.0,21649.21,35470.79,22.16924375,0.0
Quintay,SEGU9869191,1600.0,54400.0,19911.21,34488.79,21.55549375,0.0
Quintay,SEKU9296495,1824.0,68651.75,25384.39,43267.36,23.721140350877192,0.0
Quintay,SZLU9568099,2094.0,64996.0,17815.67,47180.33,22.53119866284623,0.0
Quintay,TEMU9052361,2160.0,8532.0,14080.56,-5548.5599999999995,-2.5687777777777776,-0.0
Quintay,TRIU8374843,2040.0,17292.09,16984.18,307.90999999999985,0.15093627450980385,0.0
Quintay,TRLU1888336,2160.0,43416.0,15479.24,27936.760000000002,12.933685185185187,0.0
Quintay,TTNU8410329,2159.0,53543.0,14876.44,38666.56,17.909476609541453,0.0
Quintay,TTNU8972753,1900.0,77223.88,20074.55,57149.33,30.078594736842106,0.0
