Exporter Clean,Retailer Name,Lotid,Total Cases Odd Sale,Total Amount Odd Sale
AGL,"COSTCO WHOLESALE TAIWAN, INC",EMCU5374314,42.0,0.0
AGL,"COSTCO WHOLESALE TAIWAN, INC",EMCU5385577,42.0,0.0
BORQUEZ,BORQUEZ EXPORTS LLC,24TRA104846,90.0,0.0
BORQUEZ,BORQUEZ EXPORTS LLC,24TRA104870,1170.0,0.0
BORQUEZ,BORQUEZ EXPORTS LLC,24TRA104873,2520.0,0.0
BORQUEZ,BORQUEZ EXPORTS LLC,24TRA104876,1800.0,0.0
BORQUEZ,BORQUEZ EXPORTS LLC,24TRA104878,1710.0,0.0
BORQUEZ,BORQUEZ EXPORTS LLC,24TRA104879,1530.0,0.0
BORQUEZ,BORQUEZ EXPORTS LLC,24TRA104880,1980.0,0.0
BORQUEZ,BORQUEZ EXPORTS LLC,24TRA104882,1800.0,0.0
BORQUEZ,BORQUEZ EXPORTS LLC,24TRA104884,1260.0,0.0
BORQUEZ,C.H. ROBINSON - EDEN PRAIRIE,24TRA101682,90.0,0.0
BORQUEZ,CUSTOM PRODUCE SALES,24TRA101790,1080.0,0.0
BORQUEZ,CUSTOM PRODUCE SALES,24TRA101821,720.0,0.0
BORQUEZ,D.L.J. PRODUCE,24TRA101658,90.0,0.0
BORQUEZ,DUMP,24TRA101584,525.0,0.0
BORQUEZ,DUMP,24TRA101675,360.0,0.0
BORQUEZ,"MURGUIA FRUIT COMPANY, INC.",24TRA101616,360.0,0.0
BORQUEZ,"MURGUIA FRUIT COMPANY, INC.",24TRA101773,270.0,0.0
BORQUEZ,NOGALES FOOD BANK,24TRA101531,160.0,0.0
BORQUEZ,NOGALES FOOD BANK,24TRA101536,720.0,0.0
BORQUEZ,NOGALES FOOD BANK,24TRA101573,136.0,0.0
BORQUEZ,NOGALES FOOD BANK,24TRA101576,75.0,0.0
BORQUEZ,NOGALES FOOD BANK,24TRA101583,75.0,0.0
BORQUEZ,NOGALES FOOD BANK,24TRA101658,1620.0,0.0
BORQUEZ,NOGALES FOOD BANK,24TRA101684,225.0,0.0
BORQUEZ,NOGALES FOOD BANK,24TRA101702,675.0,0.0
BORQUEZ,NOGALES FOOD BANK,24TRA101823,7.0,0.0
BORQUEZ,"VINERIPE, INC.",24TRA101804,270.0,0.0
ECO,"ECOSAC, AGRICOLA S.A.C.",0001-0010355,1800.0,0.0
ECO,"ECOSAC, AGRICOLA S.A.C.",0001-0010387,1800.0,0.0
MDT,PRIMO GROWERS & DISTRIBUTORS,SEGU9281314,10.0,0.0
Quintay,DUMP,SZLU9568099,70.0,0.0
Quintay,"HILO PRODUCTS, INC.",SEGU9694663,78.0,0.0
Quintay,KROGER,BMOU9349187,142.0,0.0
Quintay,KROGER,CXRU1580906,74.0,0.0
Quintay,"TOM LANGE COMPANY, INC.",SEGU9474268,756.0,0.0
Quintay,"TOM LANGE COMPANY, INC.",TEMU9052361,1836.0,0.0
Quintay,"TOM LANGE COMPANY, INC.",TRIU8374843,1404.0,0.0
Rio King,"FOUR STAR SALES, INC.",23R029407069,1.0,0.0
Rio King,"FOUR STAR SALES, INC.",23R033412282,85.0,0.0
Rio King,"FOUR STAR SALES, INC.",23RK71413153,67.0,0.0
Rio King,"FOUR STAR SALES, INC.",MSDU9029772,2.0,0.0
Rio King,KROGER,23R033412282,400.0,0.0
Rio King,KROGER,BMOU9248181,170.0,0.0
Unknown Exporter,ASSOCIATED WHOLESALE GROCERS,24E4405,37.0,0.0
Unknown Exporter,NOGALES FOOD BANK,E14057,52.0,0.0
VIDEXPORT,"ANTHONY MARANO, COMPANY",24E14203,630.0,0.0
VIDEXPORT,ASSOCIATED WHOLESALE GROCERS,24E11596,38.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04358,30.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04363,180.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04405,360.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04475,450.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04507,90.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04534,170.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04720,180.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04756,1350.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04806,180.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04807,990.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04906,170.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E04926,345.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E11604,90.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E11606,25.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E14022,450.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E14155,45.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E14169,90.0,0.0
VIDEXPORT,C.H. ROBINSON - EDEN PRAIRIE,24E14274,990.0,0.0
VIDEXPORT,CARUSO PRODUCE,24E04454,2.0,0.0
VIDEXPORT,COSTCO WHOLESALE,24E14275,5.0,0.0
VIDEXPORT,CUSTOM PRODUCE SALES,24E14224,190.0,0.0
VIDEXPORT,DUMP,24E04798,30.0,0.0
VIDEXPORT,DUMP,24E04817,119.0,0.0
VIDEXPORT,"FOUR STAR SALES, INC.",24E04848,90.0,0.0
VIDEXPORT,"FOUR STAR SALES, INC.",24E04926,90.0,0.0
VIDEXPORT,"FOUR STAR SALES, INC.",24E17482,90.0,0.0
VIDEXPORT,LOBLAW COMPANIES LTD.,24E14273,90.0,0.0
VIDEXPORT,"MURGUIA FRUIT COMPANY, INC.",24E14363,38.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E04539,160.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E04570,80.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E04571,46.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E04693,90.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E04889,85.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E04915,90.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E04933,180.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E11684,270.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E14275,85.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E17457,90.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E17463,90.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E17483,90.0,0.0
VIDEXPORT,NOGALES FOOD BANK,24E17548,90.0,0.0
VIDEXPORT,PRIMO GROWERS & DISTRIBUTORS,24E04807,15.0,0.0
VIDEXPORT,"VINERIPE, INC.",24E04893,850.0,0.0
