Lotid,Chargedescr,Chgamt,Chgqnt,Initial Stock,Cost per Box,Exporter Clean,Exporter Country,Season
0001-0010850,CUSTOMS CHARGE,878.5,0.0,1800,0.4880555555555556,ECO,Peru,2023-2024
0001-0010850,INSPECTIONS,135.0,1800.0,1800,0.075,ECO,Peru,2023-2024
0001-0010850,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010851,CHARGE LIQUIDATION ADJUST,821.66,0.0,1800,0.45647777777777776,ECO,Peru,2023-2024
0001-0010851,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010851,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0010851,COMMISSION,2283.7,114375.12,1800,1.268722222222222,ECO,Peru,2023-2024
0001-0010851,COMMISSION LIQUIDATION ADJUST,-1.71,0.0,1800,-0.00095,ECO,Peru,2023-2024
0001-0010851,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010851,INSPECTIONS,135.0,1800.0,1800,0.075,ECO,Peru,2023-2024
0001-0010851,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010947,CHARGE LIQUIDATION ADJUST,427.36,0.0,1700,0.25138823529411763,ECO,Peru,2023-2024
0001-0010947,COLD STORAGE CHARGE,880.0,1700.0,1700,0.5176470588235295,ECO,Peru,2023-2024
0001-0010947,COLD TREATMENT FEES,237.0,0.0,1700,0.13941176470588235,ECO,Peru,2023-2024
0001-0010947,COMMISSION,2649.2700000000004,132456.34000000003,1700,1.558394117647059,ECO,Peru,2023-2024
0001-0010947,COMMISSION LIQUIDATION ADJUST,1.04,0.0,1700,0.000611764705882353,ECO,Peru,2023-2024
0001-0010947,CUSTOMS CHARGE,278.13,0.0,1700,0.16360588235294118,ECO,Peru,2023-2024
0001-0010947,HANDLING CHARGES,180.0,0.0,1700,0.10588235294117647,ECO,Peru,2023-2024
0001-0010947,INSPECTIONS,158.0,1700.0,1700,0.09294117647058824,ECO,Peru,2023-2024
0001-0010947,YARD DRAYAGE FEES,615.0,0.0,1700,0.36176470588235293,ECO,Peru,2023-2024
0001-0010970,CHARGE LIQUIDATION ADJUST,511.64,0.0,1700,0.3009647058823529,ECO,Peru,2023-2024
0001-0010970,COLD STORAGE CHARGE,880.0,1700.0,1700,0.5176470588235295,ECO,Peru,2023-2024
0001-0010970,COLD TREATMENT FEES,237.0,0.0,1700,0.13941176470588235,ECO,Peru,2023-2024
0001-0010970,COMMISSION,2647.78,132394.86,1700,1.5575176470588237,ECO,Peru,2023-2024
0001-0010970,COMMISSION LIQUIDATION ADJUST,-1.42,0.0,1700,-0.0008352941176470588,ECO,Peru,2023-2024
0001-0010970,CUSTOMS CHARGE,278.13,0.0,1700,0.16360588235294118,ECO,Peru,2023-2024
0001-0010970,HANDLING CHARGES,228.0,0.0,1700,0.13411764705882354,ECO,Peru,2023-2024
0001-0010970,INSPECTIONS,135.0,1700.0,1700,0.07941176470588235,ECO,Peru,2023-2024
0001-0010970,YARD DRAYAGE FEES,615.0,0.0,1700,0.36176470588235293,ECO,Peru,2023-2024
0001-0010973,CHARGE LIQUIDATION ADJUST,2395.65,0.0,1800,1.3309166666666667,ECO,Peru,2023-2024
0001-0010973,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010973,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0010973,COMMISSION,2485.02,124345.31,1800,1.3805666666666667,ECO,Peru,2023-2024
0001-0010973,COMMISSION LIQUIDATION ADJUST,136.66,0.0,1800,0.07592222222222222,ECO,Peru,2023-2024
0001-0010973,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010973,INSPECTIONS,135.0,1800.0,1800,0.075,ECO,Peru,2023-2024
0001-0010973,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0010978,CHARGE LIQUIDATION ADJUST,929.9,0.0,1800,0.5166111111111111,ECO,Peru,2023-2024
0001-0010978,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0010978,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0010978,COMMISSION,2207.4,110372.2,1800,1.2263333333333333,ECO,Peru,2023-2024
0001-0010978,COMMISSION LIQUIDATION ADJUST,-0.16,0.0,1800,-8.888888888888889e-05,ECO,Peru,2023-2024
0001-0010978,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0010978,HANDLING CHARGES,32.0,0.0,1800,0.017777777777777778,ECO,Peru,2023-2024
0001-0010978,INSPECTIONS,1651.2,5400.0,1800,0.9173333333333333,ECO,Peru,2023-2024
0001-0010978,PACKING MATERIALS,24.0,3600.0,1800,0.013333333333333334,ECO,Peru,2023-2024
0001-0010978,YARD DRAYAGE FEES,715.0,0.0,1800,0.3972222222222222,ECO,Peru,2023-2024
