Exporter Clean,Initial Stock,Sale Quantity,Calculated Inventory,Current Inventory
AGL,432800.0,431976.0,824.0,3670.0
BORQUEZ,471409.0,467337.0,4072.0,23820.0
ECO,112800.0,112795.0,5.0,59.0
ELC,63564.0,60226.0,3338.0,19741.0
MDT,13000.0,13000.0,0.0,0.0
Quintay,135904.0,131626.0,4278.0,61863.0
Rio King,143204.0,140917.0,2287.0,60075.0
SAFCO PERU,7600.0,7600.0,0.0,0.0
Unknown Exporter,6300.0,10320.0,-4020.0,-16401.0
VIDEXPORT,1928508.0,1918249.0,10259.0,37676.0
