Exporter,Lotid,Inventory Balance,Date,Days In Inventory,Variety,Packaging Style
Agrolatina,24A0005623,160.0,04/01/2025,19,AUTUMN CRISP,Clam
Agrolatina,24A0026441,80.0,04/03/2025,31,TIMCO,Clam
Agrolatina,24A0057740,1600.0,02/24/2025,0,TIMCO,Clam
Agrolatina,24A0066022,0.0,03/31/2025,28,TIMCO,Clam
Agrolatina,24A0066887,196.0,03/12/2025,27,SWEET GLOBE,Clam
Agrolatina,24A0068302,120.0,02/27/2025,14,SWEET GLOBE,Clam
Agrolatina,24A0073464,184.0,02/17/2025,32,CANDY SNAP,Clam
Agrolatina,24A0081304,203.0,02/28/2025,29,SWEET GLOBE,Clam
Agrolatina,24A0094976,80.0,01/21/2025,20,ALLISON,Clam
Agrolatina,24A0102156,280.0,03/17/2025,14,SWEET GLOBE,Clam
Agrolatina,24A0115718,776.0,04/02/2025,58,SWEET GLOBE,Clam
Agrolatina,24A0128799,1600.0,12/26/2024,0,SWEET GLOBE,Clam
Agrolatina,24A0137996,109.0,02/17/2025,20,CANDY SNAP,Clam
Agrolatina,24A0141553,960.0,12/23/2024,0,ALLISON,Clam
Agrolatina,24A0141661,0.0,04/24/2025,59,TIMCO,Clam
Agrolatina,24A0148671,0.0,01/28/2025,27,CANDY SNAP,Clam
Agrolatina,24A0154930,960.0,12/30/2024,0,ALLISON,Clam
Agrolatina,24A0173313,80.0,04/05/2025,33,TIMCO,Clam
Agrolatina,24A0207389,425.0,03/11/2025,32,SWEET GLOBE,Clam
Agrolatina,24A0214937,210.0,03/06/2025,31,SWEET GLOBE,Clam
Agrolatina,24A0217108,50.0,02/27/2025,14,SWEET GLOBE,Clam
Agrolatina,24A0218526,740.0,04/10/2025,49,COTTON CANDY,Clam
Agrolatina,24A0224278,0.0,04/01/2025,36,TIMCO,Clam
Agrolatina,24A0245408,0.0,02/24/2025,21,CANDY DREAMS,Clam
Agrolatina,24A0284770,0.0,04/01/2025,29,TIMCO,Clam
Agrolatina,24A0301570,143.0,02/13/2025,28,SWEET GLOBE,Clam
Agrolatina,24A0302220,42.0,03/24/2025,25,IVORY,Clam
Agrolatina,24A0317200,40.0,02/25/2025,22,CANDY DREAMS,Clam
Agrolatina,24A0319537,240.0,03/19/2025,9,AUTUMN CRISP,Clam
Agrolatina,24A0343560,1200.0,12/26/2024,0,SWEET GLOBE,Clam
Agrolatina,24A0350384,0.0,04/02/2025,23,TIMCO,Clam
Agrolatina,24A0354570,311.0,02/03/2025,6,IVORY,Clam
Agrolatina,24A0358472,545.0,03/19/2025,16,SWEET GLOBE,Clam
Agrolatina,24A0377301,201.0,03/11/2025,26,SWEET GLOBE,Clam
Agrolatina,24A0377451,1120.0,12/30/2024,0,SWEET GLOBE,Clam
Agrolatina,24A0378334,80.0,04/02/2025,30,TIMCO,Clam
Agrolatina,24A0379325,340.0,03/18/2025,43,SWEET GLOBE,Clam
Agrolatina,24A0381446,1600.0,12/30/2024,0,CANDY SNAP,Clam
Agrolatina,24A0384785,320.0,03/29/2025,54,IVORY,Clam
Agrolatina,24A0388780,0.0,03/07/2025,24,AUTUMN CRISP,Clam
Agrolatina,24A0398304,0.0,02/10/2025,7,SWEET GLOBE,Clam
Agrolatina,24A0409179,0.0,01/27/2025,16,SWEET GLOBE,Clam
Agrolatina,24A0424759,0.0,04/23/2025,58,TIMCO,Clam
Agrolatina,24A0438942,1440.0,12/30/2024,0,SWEET GLOBE,Clam
Agrolatina,24A0459101,207.0,04/14/2025,42,TIMCO,Bag
Agrolatina,24A0466327,350.0,04/05/2025,37,IVORY,Clam
Agrolatina,24A0470672,1090.0,04/10/2025,42,COTTON CANDY,Clam
Agrolatina,24A0489235,1600.0,02/03/2025,0,SWEET GLOBE,Clam
Agrolatina,24A0505892,325.0,03/11/2025,26,SWEET GLOBE,Clam
Agrolatina,24A0512192,474.0,04/01/2025,29,IVORY,Clam
Agrolatina,24A0512905,185.0,02/28/2025,15,SWEET GLOBE,Clam
Agrolatina,24A0516177,758.0,04/02/2025,48,SWEET GLOBE,Clam
Agrolatina,24A0518420,0.0,03/04/2025,47,ALLISON,Clam
Agrolatina,24A0525836,1600.0,12/23/2024,0,SWEET GLOBE,Clam
Agrolatina,24A0528347,646.0,04/02/2025,48,SWEET GLOBE,Clam
Agrolatina,24A0531783,32.0,02/22/2025,37,SWEET GLOBE,Clam
Agrolatina,24A0534674,256.0,03/17/2025,25,SWEET GLOBE,Clam
Agrolatina,24A0557793,1600.0,12/23/2024,0,CANDY SNAP,Clam
Agrolatina,24A0559081,1520.0,12/30/2024,0,CANDY SNAP,Clam
Agrolatina,24A0567174,211.0,04/02/2025,76,COTTON CANDY,Clam
Agrolatina,24A0567549,1600.0,12/07/2024,0,CANDY SNAP,Clam
Agrolatina,24A0573808,80.0,01/14/2025,12,CANDY SNAP,Clam
Agrolatina,24A0577721,119.0,02/03/2025,18,IVORY,Clam
Agrolatina,24A0588536,0.0,02/26/2025,6,IVORY,Clam
Agrolatina,24A0591400,400.0,04/01/2025,19,AUTUMN CRISP,Clam
Agrolatina,24A0603517,0.0,02/27/2025,30,ALLISON,Clam
Agrolatina,24A0608904,0.0,03/24/2025,28,TIMCO,Clam
Agrolatina,24A0612226,24.0,02/28/2025,29,SWEET GLOBE,Clam
Agrolatina,24A0620140,249.0,04/07/2025,35,IVORY,Clam
Agrolatina,24A0620469,280.0,04/03/2025,31,IVORY,Clam
Agrolatina,24A0642534,0.0,04/11/2025,32,TIMCO,Clam
Agrolatina,24A1014323,720.0,02/22/2025,11,SWEET GLOBE,Clam
Agrolatina,24A1023879,80.0,04/04/2025,25,SWEET GLOBE,Clam
Agrolatina,24A1101143,280.0,03/15/2025,26,SWEET GLOBE,Clam
Agrolatina,24A1101903,208.0,03/17/2025,28,IVORY,Bag
Agrolatina,24A1165589,0.0,03/15/2025,30,ALLISON,Bag
Agrolatina,24A1175740,50.0,03/04/2025,19,CANDY DREAMS,Clam
Agrolatina,24A1185939,0.0,03/18/2025,22,AUTUMN CRISP,Clam
Agrolatina,24A1186787,0.0,01/14/2025,12,CANDY SNAP,Clam
Agrolatina,24A1197625,158.0,03/04/2025,45,CANDY SNAP,Clam
Agrolatina,24A1202595,1040.0,04/21/2025,53,CANDY DREAMS,Clam
Agrolatina,24A1204679,62.0,03/04/2025,50,CANDY SNAP,Clam
Agrolatina,24A1205084,150.0,03/12/2025,52,SWEET GLOBE,Clam
Agrolatina,24A1205629,96.0,03/12/2025,27,SWEET GLOBE,Clam
Agrolatina,24A1215479,468.0,04/08/2025,47,SWEET GLOBE,Bag
Agrolatina,24A1227124,60.0,03/31/2025,28,TIMCO,Clam
Agrolatina,24A1227464,0.0,02/13/2025,28,SWEET GLOBE,Clam
Agrolatina,24A1230260,325.0,03/15/2025,12,SWEET GLOBE,Clam
Agrolatina,24A1256100,153.0,02/28/2025,29,SWEET GLOBE,Clam
Agrolatina,24A1259264,0.0,01/22/2025,13,SWEET GLOBE,Clam
Agrolatina,24A1260619,0.0,02/13/2025,28,ALLISON,Clam
Agrolatina,24A1261723,0.0,02/10/2025,25,ALLISON,Clam
Agrolatina,24A1262437,0.0,01/28/2025,17,CANDY SNAP,Clam
Agrolatina,24A1264868,180.0,03/15/2025,11,SWEET GLOBE,Clam
