Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions,COMMISSION,FOB Liq,FOB per Case,Advances,Advance Pct Of FOB,% Commission
MDT,MEDU9701534,1600.0,57600.0,10350.75,2304.0,44945.25,28.09078125,0.0,0.0,4.876267877267893
MDT,MEDU9760537,1600.0,57600.0,11790.75,2304.0,43505.25,27.19078125,0.0,0.0,5.029551891812243
MDT,MSDU9036869,1600.0,75200.0,10280.75,3008.0,61911.25,38.69453125,0.0,0.0,4.633448476376421
MDT,SEGU9281314,1700.0,3880.0,4188.23,155.20000000000002,-463.4299999999996,-0.2726058823529409,0.0,-0.0,-50.35200986276489
MDT,SZLU9085547,1600.0,64000.0,13223.5,2560.0,48216.5,30.1353125,0.0,0.0,5.041702362313274
MDT,TEMU9022372,1600.0,57600.0,13223.5,2304.0,42072.5,26.2953125,0.0,0.0,5.191937173954683
MDT,TEMU9178827,1700.0,4420.0,3779.77,176.8,463.43,0.2726058823529412,0.0,0.0,27.61507583212283
MDT,TRIU8018082,1600.0,74880.0,11855.75,2995.2000000000003,60029.05,37.518156250000004,0.0,0.0,4.752456395752429
