Lotid,Exporter Clean,Initial Stock,Entry Date,Variety
BEAU9705215,AGL,1600,12/30/2023,ALLISON
BEAU9705637,AGL,1600,12/27/2023,ALLISON
BEAU9708195,AGL,1600,01/15/2024,ALLISON
BEAU9710607,AGL,1900,02/04/2024,SWEET GLOBE
BEAU9719420,AGL,1900,01/28/2024,SWEET GLOBE
BMOU9274067,AGL,1600,01/23/2024,TIMCO
BMOU9309899,AGL,1600,02/04/2024,SWEET GLOBE
BMOU9310230,AGL,1700,12/31/2023,BI-COLOR
BMOU9883335,AGL,1600,12/30/2023,IVORY
BMOU9889550,AGL,1600,12/30/2023,IVORY
BMOU9889740,AGL,1600,12/30/2023,ALLISON
BMOU9890648,AGL,1600,02/04/2024,SWEET GLOBE
BMOU9891270,AGL,1600,12/30/2023,IVORY
BMOU9891921,AGL,1600,12/30/2023,ALLISON
BMOU9892147,AGL,1700,12/30/2023,BI-COLOR
BMOU9892770,AGL,1600,02/04/2024,SWEET GLOBE
BMOU9892980,AGL,1600,12/30/2023,ALLISON
BMOU9893061,AGL,1600,01/28/2024,TIMCO
BMOU9893816,AGL,1600,02/04/2024,SWEET GLOBE
CAIU5542270,AGL,1600,01/23/2024,ALLISON
CAIU5553870,AGL,1600,01/23/2024,SWEET GLOBE
CRLU1324216,AGL,1600,01/22/2024,SWEET GLOBE
CRSU6064441,AGL,1600,12/30/2023,CANDY DREAMS
CRSU6126939,AGL,1600,12/30/2023,CANDY DREAMS
CRXU6955248,AGL,1600,01/20/2024,SWEET FAVORS
CTWU1600440,AGL,1700,12/30/2023,BI-COLOR
CTWU1600646,AGL,1600,12/27/2023,ALLISON
CTWU1601025,AGL,1600,12/30/2023,ALLISON
CTWU1601278,AGL,1600,12/15/2023,IVORY
CTWU1601365,AGL,1600,12/27/2023,SWEET GLOBE
CTWU1602607,AGL,1900,01/15/2024,SWEET FAVORS
CTWU1603162,AGL,1600,01/28/2024,TIMCO
CXRU1434990,AGL,1600,01/23/2024,CANDY DREAMS
CXRU1457260,AGL,1600,12/30/2023,IVORY
CXRU1636939,AGL,1600,01/23/2024,SWEET GLOBE
EMCU5307609,AGL,1600,01/29/2024,SWEET GLOBE
EMCU5326234,AGL,1600,01/29/2024,SWEET GLOBE
EMCU5344285,AGL,1600,01/23/2024,SWEET GLOBE
EMCU5350842,AGL,1600,12/30/2023,SWEET GLOBE
EMCU5374314,AGL,1600,12/30/2023,SWEET GLOBE
EMCU5385577,AGL,1600,12/30/2023,SWEET GLOBE
EMCU5387100,AGL,1600,12/30/2023,SWEET GLOBE
EMCU5479022,AGL,1600,12/30/2023,SWEET GLOBE
EMCU5567170,AGL,1600,12/30/2023,SWEET GLOBE
EMCU5580043,AGL,1600,12/30/2023,SWEET GLOBE
EMCU5585770,AGL,1600,12/30/2023,SWEET GLOBE
EMCU5593502,AGL,1600,01/30/2024,SWEET FAVORS
EMCU5594617,AGL,1600,12/30/2023,SWEET GLOBE
EMCU5610750,AGL,1600,01/30/2024,SWEET FAVORS
EMCU5648586,AGL,1600,01/23/2024,SWEET GLOBE
FSCU5778149,AGL,1600,12/30/2023,IVORY
FSCU5784368,AGL,1600,01/20/2024,CANDY DREAMS
HLBU9076418,AGL,1600,12/30/2023,ALLISON
HLBU9113276,AGL,1600,12/15/2023,CANDY SNAP
HLBU9130479,AGL,1600,01/22/2024,ALLISON
HLBU9182718,AGL,1600,01/22/2024,SWEET GLOBE
HLBU9458350,AGL,1600,12/15/2023,CANDY SNAP
HLBU9534608,AGL,1600,01/22/2024,SWEET GLOBE
HLBU9535688,AGL,1600,12/30/2023,CANDY SNAP
HLBU9557244,AGL,1600,01/22/2024,SWEET GLOBE
HLBU9607031,AGL,1600,01/22/2024,SWEET GLOBE
HLBU9730220,AGL,1600,12/30/2023,CANDY SNAP
HLBU9770096,AGL,1600,12/30/2023,ALLISON
HLBU9847372,AGL,1600,12/15/2023,CANDY SNAP
HLBU9866285,AGL,1600,12/17/2023,CANDY SNAP
HLBU9889784,AGL,1600,01/05/2024,ALLISON
HLBU9902778,AGL,1600,12/15/2023,CANDY SNAP
HLBU9919533,AGL,1600,01/22/2024,ALLISON
HLBU9956250,AGL,1600,01/05/2024,ALLISON
HLBU9962571,AGL,1600,12/30/2023,CANDY DREAMS
HLBU9967568,AGL,1600,01/05/2024,ALLISON
HLBU9971681,AGL,1600,12/15/2023,CANDY SNAP
HLBU9972219,AGL,1600,12/30/2023,ALLISON
HLBU9977490,AGL,1600,01/04/2024,CANDY DREAMS
MEDU9009491,AGL,1600,01/20/2024,SWEET GLOBE
MEDU9622749,AGL,1600,12/30/2023,CANDY DREAMS
MEDU9729280,AGL,1600,01/20/2024,SWEET GLOBE
MEDU9786779,AGL,1600,01/20/2024,ALLISON
MEDU9805420,AGL,1600,12/30/2023,CANDY SNAP
MEDU9807188,AGL,1600,01/20/2024,ALLISON
MMAU1269107,AGL,1600,01/30/2024,CANDY DREAMS
MMAU1303650,AGL,1800,12/30/2023,ALLISON
MMAU1304002,AGL,1800,12/30/2023,ALLISON
MMAU1311001,AGL,1600,12/30/2023,ALLISON
MMAU1367680,AGL,1600,12/30/2023,ALLISON
MMAU1373580,AGL,1600,12/30/2023,ALLISON
MMAU1440884,AGL,1600,01/23/2024,SWEET GLOBE
