Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions,COMMISSION,FOB Liq,FOB per Case,Advances,Advance Pct Of FOB,% Commission
SAFCO PERU,BMOU9016062,1900.0,70397.09,8531.130000000001,2815.99,59049.969999999994,31.078931578947365,0.0,0.0,4.551759966223752
SAFCO PERU,CRSU6127241,1900.0,65475.5,8245.75,2618.9900000000002,54610.76,28.742505263157895,0.0,0.0,4.576273703799161
SAFCO PERU,OTPU6406826,1900.0,62700.0,12147.76,2508.0,48044.24,25.286442105263156,0.0,0.0,4.961204488663609
SAFCO PERU,TRIU8085305,1900.0,55069.6,8018.13,2202.8,44848.67,23.604563157894734,0.0,0.0,4.68168157126653
