Charge,Stddev,Mean,CV
CHARGE LIQUIDATION ADJUST,0.6714400875845321,0.29682787501478636,2.2620519974786215
COLD STORAGE CHARGE,0.3009763576942649,0.5390950609370515,0.5582992305125366
COMMISSION,0.4288381297079062,1.3240126269311783,0.32389277940790895
CUSTOMS CHARGE,0.3684209418670576,0.3414435246642697,1.0790098954997431
HANDLING CHARGES,0.19183169079110357,0.1620173830620397,1.1840191908151447
INSPECTIONS,0.3831436878392017,0.3095687249736227,1.2376692376526346
YARD DRAYAGE FEES,0.17419358000003204,0.2765811856319535,0.6298099402604752
COMMISSION LIQUIDATION ADJUST,0.08305668752302858,-0.018906768674964297,-4.392960476266335
COLD TREATMENT FEES,0.020772562384624008,0.1441254131115852,0.14412838052746058
MISC. LABELS/STICKER/PLACARDS,0.09696928260186354,0.03442967824508057,2.816444635689235
OCEAN FREIGHT,1.3538792297328504,3.128348019821524,0.4327776900634255
PACKING MATERIALS,0.7830582919508996,0.16640004826460894,4.705877793410746
FREIGHT FLAT RATE,0.9280547012048406,0.8805648421701116,1.0539311323373897
REPACKING CHARGES,5.1245150968127,3.266917774230288,1.56860853286094
CROSS DOCK HANDLING FEES,3.0404709722440586e-17,0.22222222222222224,1.3682119375098263e-16
EXPEDITOR,0.4212706107737461,0.4647044901016654,0.906534410032455
FUMIGATION,0.7855827443982178,0.8950671191718372,0.8776802628221668
GROWER ADVANCES,3.9081511986322033,5.00858518314086,0.78029045243899
BROKERAGE EACH,0.033787723517142064,0.03208848728880161,1.0529547003274742
COSTCO EXCESS SALVAGE,0.7772633624766263,0.9155779125426412,0.8489319716310072
ASSESSMENTS,0.0307372993428896,-0.0018093438979246606,-16.988091306548
HARVEST TRANSPORTATION,0.2133656977388046,0.05993076862559988,3.560202924673718
ADVERTISMENT & PROMOTIONS,0.05243500950570419,0.005989444127973197,8.75457027152334
COMMISSION-FLAT,0.018907015833479392,-1.3379056703186352,-0.014131800360018284
DEMURRAGE CHARGE,0.07436216681368027,0.1621445361770439,0.4586165440227045
