Exporter,Lotid,Date,Movement,Quantity,Inventory Balance,Days In Inventory,Variety,Packaging Style
AGL,BEAU9705215,12/30/2023,Entry,1600.0,1600.0,0,ALLISON,Clam
AGL,BEAU9705215,01/09/2024,Sale,-400.0,1200.0,10,ALLISON,Clam
AGL,BEAU9705215,01/09/2024,Sale,-720.0,480.0,10,ALLISON,Clam
AGL,BEAU9705215,01/13/2024,Sale,-480.0,0.0,14,ALLISON,Clam
AGL,BEAU9705637,12/27/2023,Entry,1600.0,1600.0,0,ALLISON,Clam
AGL,BEAU9705637,01/09/2024,Sale,-480.0,1120.0,13,ALLISON,Clam
AGL,BEAU9705637,01/09/2024,Sale,-1120.0,0.0,13,ALLISON,Clam
AGL,BEAU9708195,01/15/2024,Entry,1600.0,1600.0,0,ALLISON,Clam
AGL,BEAU9708195,01/24/2024,Sale,-1200.0,400.0,9,ALLISON,Clam
AGL,BEAU9708195,01/24/2024,Sale,-400.0,0.0,9,ALLISON,Clam
AGL,BEAU9710607,02/04/2024,Entry,1900.0,1900.0,0,SWEET GLOBE,Bag
AGL,BEAU9710607,02/16/2024,Sale,-1900.0,0.0,12,SWEET GLOBE,Bag
AGL,BEAU9719420,01/24/2024,Sale,-190.0,-190.0,0,SWEET GLOBE,Bag
AGL,BEAU9719420,01/25/2024,Sale,-760.0,-950.0,1,SWEET GLOBE,Bag
AGL,BEAU9719420,01/26/2024,Sale,-665.0,-1615.0,2,SWEET GLOBE,Bag
AGL,BEAU9719420,01/28/2024,Entry,1900.0,285.0,4,SWEET GLOBE,Bag
AGL,BEAU9719420,01/31/2024,Sale,-285.0,0.0,7,SWEET GLOBE,Bag
AGL,BMOU9274067,01/23/2024,Entry,1600.0,1600.0,0,TIMCO,Clam
AGL,BMOU9274067,02/02/2024,Sale,-320.0,1280.0,10,TIMCO,Clam
AGL,BMOU9274067,02/03/2024,Sale,-960.0,320.0,11,TIMCO,Clam
AGL,BMOU9274067,02/05/2024,Sale,-320.0,0.0,13,TIMCO,Clam
AGL,BMOU9309899,02/04/2024,Entry,1600.0,1600.0,0,SWEET GLOBE,Clam
AGL,BMOU9309899,02/10/2024,Sale,-160.0,1440.0,6,SWEET GLOBE,Clam
AGL,BMOU9309899,02/10/2024,Sale,-1360.0,80.0,6,SWEET GLOBE,Clam
AGL,BMOU9309899,02/14/2024,Sale,-80.0,0.0,10,SWEET GLOBE,Clam
AGL,BMOU9310230,12/31/2023,Entry,1700.0,1700.0,0,BI-COLOR,Clam
AGL,BMOU9310230,01/10/2024,Sale,-1700.0,0.0,10,BI-COLOR,Clam
AGL,BMOU9883335,12/30/2023,Entry,1600.0,1600.0,0,IVORY,Clam
AGL,BMOU9883335,01/11/2024,Sale,-100.0,1500.0,12,IVORY,Clam
AGL,BMOU9883335,01/12/2024,Sale,-1420.0,80.0,13,IVORY,Clam
AGL,BMOU9883335,01/13/2024,Sale,-80.0,0.0,14,IVORY,Clam
AGL,BMOU9889550,12/30/2023,Entry,1600.0,1600.0,0,IVORY,Clam
AGL,BMOU9889550,01/13/2024,Sale,-100.0,1500.0,14,IVORY,Clam
AGL,BMOU9889550,01/19/2024,Sale,-1500.0,0.0,20,IVORY,Clam
AGL,BMOU9889740,12/30/2023,Entry,1600.0,1600.0,0,ALLISON,Clam
AGL,BMOU9889740,01/02/2024,Sale,-400.0,1200.0,3,ALLISON,Clam
AGL,BMOU9889740,01/04/2024,Sale,-720.0,480.0,5,ALLISON,Clam
AGL,BMOU9889740,01/09/2024,Sale,-480.0,0.0,10,ALLISON,Clam
AGL,BMOU9890648,02/04/2024,Entry,1600.0,1600.0,0,SWEET GLOBE,Clam
AGL,BMOU9890648,02/14/2024,Sale,-1120.0,480.0,10,SWEET GLOBE,Clam
AGL,BMOU9890648,02/14/2024,Sale,-320.0,160.0,10,SWEET GLOBE,Clam
AGL,BMOU9890648,02/17/2024,Sale,-160.0,0.0,13,SWEET GLOBE,Clam
AGL,BMOU9891270,12/30/2023,Entry,1600.0,1600.0,0,IVORY,Clam
AGL,BMOU9891270,01/06/2024,Sale,-1040.0,560.0,7,IVORY,Clam
AGL,BMOU9891270,01/09/2024,Sale,-560.0,0.0,10,IVORY,Clam
AGL,BMOU9891921,12/21/2023,Sale,-800.0,-800.0,0,ALLISON,Clam
AGL,BMOU9891921,12/28/2023,Sale,-640.0,-1440.0,7,ALLISON,Clam
AGL,BMOU9891921,12/28/2023,Sale,-160.0,-1600.0,7,ALLISON,Clam
AGL,BMOU9891921,12/30/2023,Entry,1600.0,0.0,9,ALLISON,Clam
AGL,BMOU9892147,12/28/2023,Sale,-1700.0,-1700.0,0,BI-COLOR,Clam
AGL,BMOU9892147,12/30/2023,Entry,1700.0,0.0,2,BI-COLOR,Clam
AGL,BMOU9892770,02/04/2024,Entry,1600.0,1600.0,0,SWEET GLOBE,Clam
AGL,BMOU9892770,02/14/2024,Sale,-1120.0,480.0,10,SWEET GLOBE,Clam
AGL,BMOU9892770,02/22/2024,Sale,-80.0,400.0,18,SWEET GLOBE,Clam
AGL,BMOU9892770,02/23/2024,Sale,-313.0,87.0,19,SWEET GLOBE,Clam
AGL,BMOU9892980,12/26/2023,Sale,-240.0,-240.0,0,ALLISON,Clam
AGL,BMOU9892980,12/27/2023,Sale,-720.0,-960.0,1,ALLISON,Clam
AGL,BMOU9892980,12/28/2023,Sale,-80.0,-1040.0,2,ALLISON,Clam
AGL,BMOU9892980,12/28/2023,Sale,-560.0,-1600.0,2,ALLISON,Clam
AGL,BMOU9892980,12/30/2023,Entry,1600.0,0.0,4,ALLISON,Clam
